date,BYR,USD,EUR,KZT,UAH,AZN,KGS,UZS,GEL
2021-03,,74.4373,90.3743,17.8255,26.6296,43.8124,87.8764,70.6335,
2021-04,,75.6373,88.7452,17.7801,27.1942,44.5187,89.1882,72.2076,
2021-05,,74.8451,90.585,17.4178,26.9783,44.0524,88.2325,71.2193,
2021-06,,73.2965,89.3778,17.0912,26.6893,42.8484,87.6199,69.2741,
2021-07,,72.7234,86.5118,16.9778,26.7074,42.8036,85.8689,68.5727,
2021-08,,73.1388,86.9913,17.1891,27.2718,43.0481,86.2352,68.8365,
2021-09,,73.2781,86.666,17.1752,27.2558,43.1301,86.4871,68.7852,
2021-10,,72.6642,84.305,17.0653,27.2887,42.7688,85.6132,67.9619,
2021-11,,70.52,82.2898,16.494,26.8152,41.5068,83.1363,66.0114,
2021-12,,74.8926,84.8234,17.0443,27.4319,44.0804,88.2884,69.4284,
2022-01,,74.2926,84.0695,16.9,27.2584,43.7273,87.5906,68.5504,
2022-02,,77.4702,86.5032,17.8379,27.1136,45.5975,91.3279,71.6311,
2022-03,,93.5589,104.4772,18.8393,31.0053,55.067,11.0069,86.3067,
2022-04,,83.4097,92.493,17.7349,28.2427,49.1455,87.3632,74.9024,
2022-05,,71.0237,74.5589,15.8362,23.4698,41.7786,86.5073,63.5286,
2022-06,,61.6069,62.7397,14.4147,20.778,36.2394,75.582,55.9509,
2022-07,,52.5123,54.6405,11.291,17.7865,30.8896,66.0532,48.3528,
2022-08,,61.3101,62.5695,12.8055,16.7551,36.0648,73.7131,56.206,
2022-09,,60.2386,60.2141,12.8687,16.3195,35.4345,74.646,55.113,
2022-10,,55.2987,52.7379,11.5957,14.978,32.5286,68.9707,50.2076,
2022-11,,61.6229,61.1196,13.1955,16.685,36.2488,73.796,55.1165,
2022-12,,60.8803,63.0504,12.9967,16.4844,35.8119,72.0919,54.2945,
2023-01,,70.3375,75.6553,15.2583,19.1387,41.375,82.0933,62.6589,
2023-02,,70.5174,76.3004,15.3325,19.0963,41.4808,81.8542,62.396,26.701
2023-03,,74.8932,79.5134,16.6748,20.3132,44.0548,85.6706,66.16,28.5069
2023-04,,77.3233,84.1116,17.2577,20.9349,45.4843,88.4504,67.6304,30.1997
2023-05,,80.5093,88.3712,17.6474,21.8067,47.3584,91.9896,70.6827,32.2153
2023-06,,80.9942,86.5009,18.1163,21.9394,47.6436,92.4697,71.0112,31.249
